k, flow, paths, time
3,7, 1049, 4180
3,10, 1055, 11420
3,8, 1060, 4231
3,9, 1066, 5378
4,17, 1077, 27222
4,21, 1087, 14351
4,23, 1099, 23401
4,31, 1112, 17451
4,28, 1124, 15269
4,19, 1136, 22008
4,35, 1149, 16734
4,33, 1163, 18520
4,31, 1178, 18643
4,34, 1195, 26478
4,11, 1203, 10652
4,23, 1214, 14532
4,21, 1227, 31092
4,29, 1239, 13594
4,24, 1251, 22106
4,26, 1264, 15877
4,28, 1274, 18029
4,28, 1287, 21775
4,15, 1296, 12205
4,30, 1307, 13504
4,37, 1323, 33916
4,28, 1336, 19072
4,11, 1342, 13595
4,32, 1353, 16667
4,29, 1367, 43573
4,18, 1376, 16998
4,28, 1389, 16337
4,21, 1398, 10733
4,25, 1410, 65476
4,9, 1417, 8269
4,36, 1430, 16806
4,35, 1443, 24807
4,29, 1455, 15851
4,19, 1465, 20866
4,23, 1477, 15591
4,25, 1487, 13680
4,17, 1496, 12509
4,25, 1509, 43500
4,35, 1523, 20371
4,31, 1536, 20821
4,25, 1549, 23971
4,31, 1562, 16344
4,28, 1573, 20496
4,21, 1584, 14640
4,27, 1596, 15401
4,29, 1607, 12586
4,17, 1614, 8503
4,10, 1621, 8110
4,36, 1639, 27139
4,15, 1650, 14407
4,33, 1664, 30701
4,15, 1674, 13025
4,22, 1683, 18622
4,17, 1692, 16056
4,23, 1702, 13163
4,22, 1713, 13405
4,26, 1725, 15318
4,13, 1732, 12910
4,32, 1747, 30244
4,26, 1756, 23433
4,25, 1767, 14349
4,31, 1778, 14115
4,24, 1787, 16353
4,15, 1796, 21869
4,11, 1802, 19178
4,23, 1815, 31605
4,20, 1827, 20982
4,27, 1837, 24403
4,29, 1849, 15975
4,22, 1859, 12946
4,35, 1874, 17779
4,27, 1887, 22962
4,15, 1896, 10671
4,33, 1910, 17749
4,22, 1919, 10719
4,28, 1931, 32500
4,32, 1945, 26913
4,25, 1958, 16981
4,16, 1968, 12176
4,21, 1978, 17411
4,29, 1990, 15734
4,22, 2000, 12586
4,22, 2014, 22394
4,13, 2021, 15725
4,28, 2034, 21441
4,23, 2045, 18348
4,29, 2056, 18527
4,18, 2067, 37583
4,26, 2079, 20047
4,22, 2089, 12977
4,32, 2105, 18427
4,33, 2118, 15037
4,27, 2129, 13029
4,15, 2137, 9253
4,35, 2150, 16615
4,25, 2161, 13229
4,20, 2172, 24009
4,24, 2185, 15289
4,12, 2194, 11658
4,22, 2204, 17754
5,70, 2230, 87987
5,75, 2262, 67384
5,75, 2289, 59012
5,92, 2321, 69544
5,62, 2346, 47872
5,78, 2377, 67094
5,88, 2409, 72926
5,33, 2427, 33062
5,47, 2445, 53707
5,53, 2464, 37040
5,53, 2484, 60005
5,49, 2501, 39516
5,66, 2527, 62334
5,67, 2550, 51043
5,63, 2572, 54051
5,67, 2596, 56536
5,65, 2626, 55008
5,82, 2654, 67293
5,72, 2680, 48588
5,86, 2714, 81827
5,51, 2736, 39000
5,66, 2765, 87576
5,87, 2797, 66114
5,76, 2827, 70155
5,60, 2851, 62237
5,84, 2882, 106978
5,65, 2908, 65760
5,60, 2932, 73745
5,29, 2946, 50818
5,67, 2971, 70107
5,79, 3000, 76001
5,72, 3030, 55291
5,81, 3063, 111532
5,83, 3095, 104368
5,60, 3118, 45127
5,72, 3147, 98804
5,56, 3173, 72468
5,68, 3198, 77971
5,67, 3223, 67874
5,78, 3254, 91172
5,40, 3272, 59145
5,71, 3303, 82641
5,75, 3330, 66489
5,70, 3358, 109177
5,86, 3392, 108263
5,88, 3425, 111912
5,78, 3457, 80153
5,57, 3478, 47139
5,64, 3500, 40291
5,77, 3531, 87664
5,64, 3553, 86577
5,65, 3577, 75723
5,76, 3606, 68152
5,44, 3626, 56683
5,52, 3649, 68883
5,50, 3668, 53923
5,52, 3692, 72101
5,53, 3713, 78862
5,71, 3741, 98400
5,35, 3756, 27552
5,72, 3784, 88485
5,50, 3804, 54226
5,90, 3839, 87195
5,59, 3863, 56776
5,55, 3886, 86037
5,63, 3915, 181580
5,68, 3938, 64909
5,66, 3962, 79541
5,70, 3990, 59777
5,72, 4014, 66473
5,74, 4041, 73551
5,49, 4066, 77574
5,62, 4092, 56868
5,64, 4125, 68373
5,68, 4151, 102538
5,46, 4171, 89221
5,73, 4198, 71991
5,54, 4221, 48948
5,76, 4248, 55846
5,62, 4271, 65551
5,87, 4304, 66251
5,54, 4325, 47218
5,30, 4340, 35679
5,75, 4369, 67151
5,93, 4400, 108435
